-46.8	-24	1000	0.008695652	0	0	0.008695652	0.008695652	0.026086957	1
-28.5	-15	845	0.01754386	0	0	0	0.01754386	0	1
-92.1	-96	0	0	0.002777778	0.002777778	0	0	0.013888889	0
-61.1	-107	1000	0	0.004149378	0	0.004149378	0	0.012448133	0
-21.1	-76	0	0.012048193	0	0	0	0	0.036144578	0
-27.1	-14	1000	0	0	0	0.035714286	0.011904762	0.05952381	0
-52.5	-41	1000	0.009090909	0	0.009090909	0	0	0	1
-18.5	-84	1000	0	0	0.033707865	0.02247191	0	0.056179775	1
-146.6	228	9	0	0	0	0.002680965	0	0	1
-30.8	11	0	0.00952381	0	0.028571429	0.00952381	0.00952381	0.047619048	1
